Id,SaleStatus
1461,SoldSlow
1462,SoldSlow
1463,SoldSlow
1464,SoldSlow
1465,SoldFast
1466,SoldSlow
1467,SoldSlow
1468,SoldSlow
1469,SoldFast
1470,SoldSlow
1471,SoldFast
1472,SoldSlow
1473,SoldSlow
1474,SoldSlow
1475,SoldSlow
1476,SoldFast
1477,SoldFast
1478,SoldFast
1479,SoldFast
1480,SoldSlow
1481,SoldFast
1482,SoldFast
1483,SoldSlow
1484,SoldFast
1485,SoldFast
1486,SoldFast
1487,SoldSlow
1488,SoldFast
1489,SoldFast
1490,SoldSlow
1491,SoldFast
1492,SoldSlow
1493,SoldSlow
1494,SoldSlow
1495,SoldFast
1496,SoldFast
1497,SoldFast
1498,SoldFast
1499,SoldFast
1500,SoldSlow
1501,SoldSlow
1502,SoldFast
1503,SoldFast
1504,SoldFast
1505,SoldFast
1506,SoldSlow
1507,SoldSlow
1508,SoldSlow
1509,SoldSlow
1510,SoldSlow
1511,SoldSlow
1512,SoldSlow
1513,SoldSlow
1514,SoldSlow
1515,SoldSlow
1516,SoldSlow
1517,SoldSlow
1518,SoldSlow
1519,SoldFast
1520,SoldSlow
1521,SoldSlow
1522,SoldSlow
1523,SoldSlow
1524,SoldSlow
1525,SoldSlow
1526,SoldSlow
1527,SoldSlow
1528,SoldSlow
1529,SoldSlow
1530,SoldSlow
1531,SoldSlow
1532,SoldSlow
1533,SoldSlow
1534,SoldSlow
1535,SoldSlow
1536,SoldSlow
1537,SoldSlow
1538,SoldFast
1539,SoldFast
1540,SoldSlow
1541,SoldFast
1542,SoldSlow
1543,SoldFast
1544,SoldSlow
1545,SoldSlow
1546,SoldSlow
1547,SoldSlow
1548,SoldFast
1549,SoldSlow
1550,SoldSlow
1551,SoldSlow
1552,SoldSlow
1553,SoldFast
1554,SoldFast
1555,SoldSlow
1556,SoldSlow
1557,SoldSlow
1558,SoldSlow
1559,SoldSlow
1560,SoldSlow
1561,SoldSlow
1562,SoldSlow
1563,SoldSlow
1564,SoldSlow
1565,SoldSlow
1566,SoldFast
1567,SoldSlow
1568,SoldSlow
1569,SoldSlow
1570,SoldSlow
1571,SoldSlow
1572,SoldSlow
1573,SoldFast
1574,SoldSlow
1575,SoldFast
1576,SoldSlow
1577,SoldFast
1578,SoldSlow
1579,SoldSlow
1580,SoldFast
1581,SoldSlow
1582,SoldSlow
1583,SoldFast
1584,SoldSlow
1585,SoldSlow
1586,SoldSlow
