Id,MSSubClass,MSZoning,LotArea,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleCondition
1461,20,RH,11622,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,None,0,896,0,0,896,0,0,1,0,2,1,Attchd,1961,Unf,1,730,Normal
1462,20,RL,14267,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,BrkFace,108,1329,0,0,1329,0,0,1,1,3,1,Attchd,1958,Unf,1,312,Normal
1463,60,RL,13830,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,None,0,928,701,0,1629,0,0,2,1,3,1,Attchd,1997,Fin,2,482,Normal
1464,60,RL,9978,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,BrkFace,20,926,678,0,1604,0,0,2,1,3,1,Attchd,1998,Fin,2,470,Normal
1465,120,RL,5005,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,None,0,1280,0,0,1280,0,0,2,0,2,1,Attchd,1992,RFn,2,506,Normal
1466,60,RL,10000,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,None,0,763,892,0,1655,0,0,2,1,3,1,Attchd,1993,Fin,2,440,Normal
1467,20,RL,7980,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,None,0,1187,0,0,1187,1,0,2,0,3,1,Attchd,1992,Fin,2,420,Normal
1468,60,RL,8402,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,None,0,789,676,0,1465,0,0,2,1,3,1,Attchd,1998,Fin,2,393,Normal
1469,20,RL,10176,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,None,0,1341,0,0,1341,1,0,1,1,2,1,Attchd,1990,Unf,2,506,Normal
1470,20,RL,8400,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,None,0,882,0,0,882,1,0,1,0,2,1,Attchd,1970,Fin,2,525,Normal
1471,120,RH,5858,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,None,0,1337,0,0,1337,1,0,2,0,2,1,Attchd,1999,Fin,2,511,Normal
1472,160,RM,1680,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,BrkFace,504,483,504,0,987,0,0,1,1,2,1,Detchd,1971,Unf,1,264,Normal
1473,160,RM,1680,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,BrkFace,492,525,567,0,1092,0,0,1,1,3,1,Detchd,1997,Unf,1,320,Normal
1474,160,RL,2280,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,None,0,855,601,0,1456,0,0,2,1,3,1,Attchd,1975,Unf,2,440,Normal
1475,120,RL,2280,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,None,0,836,0,0,836,0,0,1,0,2,1,Attchd,1975,Unf,1,308,Normal
1476,60,RL,12858,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,Stone,162,1627,707,0,2334,0,0,2,1,3,1,Attchd,2009,Fin,3,751,Partial
1477,20,RL,12883,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,Stone,256,1544,0,0,1544,0,0,2,0,3,1,Attchd,2009,RFn,3,868,Partial
1478,20,RL,11520,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,BrkFace,615,1698,0,0,1698,0,0,2,0,3,1,Attchd,2005,Fin,3,730,Normal
1479,20,RL,14122,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,BrkFace,240,1822,0,0,1822,0,0,2,0,3,1,Attchd,2005,RFn,3,678,Normal
